Age Group,Category,Type,DailyBeverage
Adolescent (12-17),Gender by Age- Male,Gender by Age- Male : 12-13 : Adolescent (12-17),0.7
Adolescent (12-17),Gender by Age- Male,Gender by Age- Male : 14-15 : Adolescent (12-17),0.8
Adolescent (12-17),Gender by Age- Male,Gender by Age- Male : 16-17 : Adolescent (12-17),0.8
Adolescent (12-17),Gender by Age- Female,Gender by Age- Female : 12-13 : Adolescent (12-17),0.7
Adolescent (12-17),Gender by Age- Female,Gender by Age- Female : 14-15 : Adolescent (12-17),0.6
Adolescent (12-17),Gender by Age- Female,Gender by Age- Female : 16-17 : Adolescent (12-17),0.6
Adult (18+),Age,Age : 18 - 24 : Adult (18+),2.9
Adult (18+),Age,Age : 25 - 34 : Adult (18+),2.9
