Age Group,Category,Type,DailyBeverage
Adult (18+),Race/Ethnicity,Race/Ethnicity : White,2.0
Adult (18+),Race/Ethnicity,Race/Ethnicity : African American,2.4
Adult (18+),Race/Ethnicity,Race/Ethnicity : Latino,2.4
Adult (18+),Race/Ethnicity,Race/Ethnicity : Asian/Other,2.7
